CUST_NO,VTG,AGETIER,EDUCATION_DESC,GENDER,EOP_BAL_CS,MTH_AVG_BAL_CS,MTH6_AVG_BAL_CS,DELTA_FUNDING_BALANCE,MTH_AVG_BAL_IDR,MTH6_AVG_BAL_IDR,DELTA_FUNDING_BALANCE_TD,AVG_CREDIT_3MTH,SUM_CREDIT_LESS_3MIL,SUM_CREDIT_ZERO,DELTA_CREDIT_MUTATION,DELTA_DEBIT_MUTATION,AVG_DEBIT_3MTH,CUST_SEGMENT_AVG,DELTA_CUST_SEG,L_COLL,BAD_TAG
2980365,16-20 th,41-50 th,AKADEMI,P,26016183.69,22322147.92,20533981.7,4970376.833,22322147.92,20533981.7,4970376.833,25696014.09,0,0,-5044393.113,-6955517.613,25033266.76,4,0,0,0
2908026.2,16-20 th,41-50 th,SMA,L,3191639.5,1998426.8,5684259.732,7751981.563,1998426.8,5684259.732,7751981.563,8094239.613,0,0,18947948.97,19156552.43,9863116.187,5,0,0,0
2813760.2,16-20 th,31-40 th,AKADEMI,L,10259251.17,695242.66,1694199.747,541380.32,695242.66,1694199.747,541380.32,21286117,0,0,40941808.48,51856237.33,18362500.67,5,1,0,0
2672137.2,16-20 th,51-65 th,AKADEMI,L,13511332.51,11511117.54,12876056.82,-1250852.14,11511117.54,12876056.82,-1250852.14,120185037.3,0,0,-80178154.48,-71684464.56,121490863.3,4,0,0,0
2629395.2,16-20 th,31-40 th,SMA,L,69269.29,98785.41,1357138.045,2628261.8,98785.41,1357138.045,2628261.8,2333333.333,4,2,1358769.397,4728501.333,2338998.667,5,0,0,0
2452564.4,16-20 th,31-40 th,SMA,P,9042404.24,6525589.15,4053240.9,-171098.79,6525589.15,4053240.9,-171098.79,8174729.123,0,0,2759609.097,3057000,7075500,4,0,0,0
1840486.4,16-20 th,41-50 th,AKADEMI,P,10324278.54,14101405.79,15273647.85,4019003.907,14101405.79,15273647.85,4019003.907,16741775.64,0,0,-4420224.757,-5675718.873,17893611.31,4,0,0,0
1842558.6,16-20 th,51-65 th,SMA,L,2375810.43,13175878.52,16882803.81,17542932.08,13175878.52,16882803.81,17542932.08,683273323.1,0,0,-201094030.4,-202392047.3,691022978.9,4,-1,0,0
1637234,16-20 th,31-40 th,UNIVERSITAS,L,67703043.3,55930856.84,16134627.58,-19826191.96,55930856.84,16134627.58,-19826191.96,127714279.5,0,0,-61362371.96,-39291322.41,106140889.4,3,0,0,0
1387728,16-20 th,41-50 th,UNIVERSITAS,L,14693102.98,13229882.57,7899680.278,365619.43,13229882.57,7899680.278,365619.43,29954399.45,0,0,-7732829.16,-3087431.413,27526927.1,4,0,0,0
843212.8,> 20 th,31-40 th,UNIVERSITAS,L,1567619.64,15671748.79,69938726.43,53855599.74,15671748.79,69938726.43,53855599.74,123469883.6,1,0,776574396.5,-118813977.9,139367454.3,4,-1,0,0
399625.8,> 20 th,41-50 th,SMA,L,7240914.3,4949215.75,7805530.808,-2828567.34,4949215.75,7805530.808,-2828567.34,12270656.28,0,0,5884289.893,-253598.6033,12554444.03,5,1,0,0
279111.8,> 20 th,51-65 th,SMA,P,5056744.82,5063411.92,7160313.633,6472342.517,5063411.92,7160313.633,6472342.517,1976.32333,3,1,4002947.547,6013259.47,15000,4,0,0,0
2920978,16-20 th,31-40 th,UNIVERSITAS,L,1610442.27,1190248.75,2203926.225,1612930.083,1190248.75,2203926.225,1612930.083,11168046.43,0,0,5318320.753,2806903.423,10663591.58,5,0,0,0
2860076.6,16-20 th,41-50 th,UNIVERSITAS,L,1252960041,1196750036,1055302863,98310213.7,1196750036,1055302863,98310213.7,342463712.9,0,0,98230076.43,625743226.2,271221890.7,2,0,1,0
2844126,16-20 th,41-50 th,SMA,L,1082965.67,472740.15,634417.3,341919.1333,472740.15,634417.3,341919.1333,6442533.333,0,0,42284579.85,42818087.51,6091140,5,0,0,1
1667331.2,16-20 th,51-65 th,UNIVERSITAS,L,407640.77,2090460.16,5374881.4,5314287.837,2090460.16,5374881.4,5314287.837,73776136.27,0,0,-16285024.21,-18363085.71,77515965.1,5,0,1,0
1130280.2,> 20 th,51-65 th,SMA,L,398407.88,1083474.6,1760362.708,-883156.87,1083474.6,1760362.708,-883156.87,20628112.06,0,0,18372527.52,17495895.33,21330604.67,5,0,0,0
618889.2,> 20 th,51-65 th,SMA,L,59608567.23,49423805.6,17310674.75,-19913601.09,49423805.6,17310674.75,-19913601.09,17080623.85,3,1,-17076668.36,-489832.5033,1248932.503,4,1,0,0
3135425.2,16-20 th,51-65 th,AKADEMI,L,292322.8,7240544.59,1697313.237,-1459643.483,7240544.59,1697313.237,-1459643.483,69034768.22,0,0,-13069768.22,-12208591.67,69063310.67,4,-1,0,0
3212347,16-20 th,41-50 th,UNIVERSITAS,P,8027977.23,6148822.71,12424094.04,20007765.19,6148822.71,12424094.04,20007765.19,22608689.32,0,0,-7798935.583,-3533943.667,25553921.42,4,0,0,0
3264789,11-15 th,51-65 th,UNIVERSITAS,L,595699.49,3284537.4,8929209.037,109589037.5,3284537.4,8929209.037,109589037.5,67638901.89,0,0,-26577192.8,-11940827,72507928,5,0,0,0
3346527.6,11-15 th,31-40 th,AKADEMI,L,225788.41,324657.53,1711585.843,5426835.1,324657.53,1711585.843,5426835.1,16450459.34,0,0,-6749011.947,-1526311.31,16752129,5,0,0,0
3411121.8,11-15 th,51-65 th,UNIVERSITAS,L,39297802.18,41012305.29,43875151.06,-15811229.19,41012305.29,43875151.06,-15811229.19,15814304.97,3,0,57354288,4349614.893,16035046.88,4,0,0,0
3655431.8,11-15 th,21-30 th,SMA,L,117542534.9,109931266.8,86293629.48,-35985885.76,109931266.8,119626962.8,30680780.9,173104931.2,0,0,-78663773,-64069984.59,159369146.8,3,0,0,0
3656391.4,11-15 th,31-40 th,UNIVERSITAS,P,16089097.39,7940530.22,8205348.477,-5322770.953,7940530.22,8205348.477,-5322770.953,37011516.27,0,0,-4998558.227,-3066407.893,36520704.89,4,0,0,0
3828555,11-15 th,31-40 th,UNIVERSITAS,L,21666969.01,11776015.9,14258534.69,13469124.59,11776015.9,27191248.33,18438973.84,17657379.13,0,0,-6098742.937,11299341.09,15313909.75,4,0,0,0
3935231,11-15 th,41-50 th,SMA,P,1521869.68,3674652.76,8297320.947,12562414.38,3674652.76,8297320.947,12562414.38,161898738.8,0,0,-85692059.82,-92387533.2,164444873.3,5,0,0,0
4028509.6,11-15 th,41-50 th,SMA,L,3007964.37,3254963.56,2977380.515,-775356.11,3254963.56,2977380.515,-775356.11,8882608.563,0,0,-1498655.923,-266430.7933,10281698.54,5,0,0,0
4062190.2,11-15 th,21-30 th,SMA,L,6071498.58,2509757.14,2716102.453,-655004.5467,2509757.14,2716102.453,-655004.5467,7447329.203,0,0,1240763.957,-1759848.273,6774648.273,5,1,0,0
4074766.2,11-15 th,41-50 th,SMA,L,74656.31,3213016.12,1177499.698,-845219.3267,3213016.12,1177499.698,-845219.3267,14890623,1,0,-3390623.003,-3544384.81,14932726.81,5,0,0,1
4074962.8,11-15 th,21-30 th,AKADEMI,P,44552.18,63019.92,625022.4717,1757737.56,63019.92,625022.4717,1757737.56,66666.66667,3,2,5308318.403,7058166.667,824133.3333,5,0,0,0
4117534.8,11-15 th,31-40 th,AKADEMI,L,60752.53,104469.17,229892.0167,389105.2133,104469.17,229892.0167,389105.2133,6405082.333,0,0,-7446.33333,511389,6413329,5,0,0,0
4116898.2,11-15 th,31-40 th,AKADEMI,P,13764714.33,21608785.93,38952642.2,53143073.39,21608785.93,38952642.2,53143073.39,39874952.51,0,0,207547788.2,87288910.51,38708866,4,0,1,0
